year,cpi
1991-12-01,11.961352801666667
1992-01-01,11.78781704
1992-02-01,11.332739827333334
1992-03-01,10.877662614666667
1992-04-01,10.422585402
1992-05-01,9.967508189333333
1992-06-01,9.512430976666668
1992-07-01,9.057353764
1992-08-01,8.602276551333333
1992-09-01,8.147199338666667
1992-10-01,7.692122126
1992-11-01,7.237044913333333
1992-12-01,6.781967700666667
1993-01-01,6.326890488
1993-02-01,6.6536442440000005
1993-03-01,6.980398
1993-04-01,7.307151756
1993-05-01,7.633905512
1993-06-01,7.960659268000001
1993-07-01,8.287413024
1993-08-01,8.61416678
1993-09-01,8.940920536
1993-10-01,9.267674292
1993-11-01,9.594428048000001
1993-12-01,9.921181804
1994-01-01,10.24793556
1994-02-01,10.246014776666668
1994-03-01,10.244093993333333
1994-04-01,10.24217321
1994-05-01,10.240252426666666
1994-06-01,10.238331643333334
1994-07-01,10.23641086
1994-08-01,10.234490076666667
1994-09-01,10.232569293333334
1994-10-01,10.23064851
1994-11-01,10.228727726666667
1994-12-01,10.226806943333333
1995-01-01,10.22488616
1995-02-01,10.1209083415
1995-03-01,10.016930523000001
1995-04-01,9.9129527045
1995-05-01,9.808974886
1995-06-01,9.7049970675
1995-07-01,9.601019249
1995-08-01,9.4970414305
1995-09-01,9.393063612
1995-10-01,9.2890857935
1995-11-01,9.185107975
1995-12-01,9.0811301565
1996-01-01,8.977152338
1996-02-01,8.826077319416667
1996-03-01,8.675002300833333
1996-04-01,8.52392728225
1996-05-01,8.372852263666667
1996-06-01,8.221777245083333
1996-07-01,8.0707022265
1996-08-01,7.919627207916667
1996-09-01,7.768552189333334
1996-10-01,7.61747717075
1996-11-01,7.466402152166667
1996-12-01,7.315327133583334
1997-01-01,7.164252115
1997-02-01,7.669801020416667
1997-03-01,8.175349925833334
1997-04-01,8.68089883125
1997-05-01,9.186447736666667
1997-06-01,9.691996642083334
1997-07-01,10.197545547499999
1997-08-01,10.703094452916666
1997-09-01,11.208643358333333
1997-10-01,11.71419226375
1997-11-01,12.219741169166667
1997-12-01,12.725290074583333
1998-01-01,13.23083898
1998-02-01,12.517420763333334
1998-03-01,11.804002546666666
1998-04-01,11.090584329999999
1998-05-01,10.377166113333333
1998-06-01,9.663747896666667
1998-07-01,8.95032968
1998-08-01,8.236911463333332
1998-09-01,7.523493246666666
1998-10-01,6.810075029999999
1998-11-01,6.0966568133333325
1998-12-01,5.383238596666666
1999-01-01,4.66982038
1999-02-01,4.614788340833333
1999-03-01,4.559756301666667
1999-04-01,4.5047242625
1999-05-01,4.449692223333333
1999-06-01,4.394660184166667
1999-07-01,4.339628145
1999-08-01,4.284596105833333
1999-09-01,4.229564066666667
1999-10-01,4.1745320275
1999-11-01,4.119499988333333
1999-12-01,4.064467949166667
2000-01-01,4.00943591
2000-02-01,3.990257344333333
2000-03-01,3.9710787786666666
2000-04-01,3.9519002129999996
2000-05-01,3.932721647333333
2000-06-01,3.9135430816666665
2000-07-01,3.8943645159999996
2000-08-01,3.875185950333333
2000-09-01,3.8560073846666665
2000-10-01,3.836828819
2000-11-01,3.8176502533333334
2000-12-01,3.7984716876666664
2001-01-01,3.779293122
2001-02-01,3.82244803175
2001-03-01,3.8656029414999997
2001-04-01,3.90875785125
2001-05-01,3.951912761
2001-06-01,3.99506767075
2001-07-01,4.0382225805
2001-08-01,4.08137749025
2001-09-01,4.1245324
2001-10-01,4.16768730975
2001-11-01,4.2108422195
2001-12-01,4.25399712925
2002-01-01,4.297152039
2002-02-01,4.256210952
2002-03-01,4.215269865
2002-04-01,4.1743287780000005
2002-05-01,4.133387691
2002-06-01,4.092446604
2002-07-01,4.051505517
2002-08-01,4.0105644300000005
2002-09-01,3.969623343
2002-10-01,3.928682256
2002-11-01,3.887741169
2002-12-01,3.846800082
2003-01-01,3.805858995
2003-02-01,3.802641723333333
2003-03-01,3.7994244516666664
2003-04-01,3.7962071799999997
2003-05-01,3.7929899083333334
2003-06-01,3.7897726366666666
2003-07-01,3.786555365
2003-08-01,3.783338093333333
2003-09-01,3.7801208216666664
2003-10-01,3.77690355
2003-11-01,3.7736862783333334
2003-12-01,3.7704690066666666
2004-01-01,3.767251735
2004-02-01,3.80717605875
2004-03-01,3.8471003825
2004-04-01,3.88702470625
2004-05-01,3.92694903
2004-06-01,3.96687335375
2004-07-01,4.0067976775
2004-08-01,4.04672200125
2004-09-01,4.086646325
2004-10-01,4.1265706487500005
2004-11-01,4.1664949725
2004-12-01,4.20641929625
2005-01-01,4.24634362
2005-02-01,4.375525266333334
2005-03-01,4.504706912666666
2005-04-01,4.633888559
2005-05-01,4.763070205333333
2005-06-01,4.892251851666667
2005-07-01,5.021433498
2005-08-01,5.150615144333333
2005-09-01,5.2797967906666665
2005-10-01,5.408978437
2005-11-01,5.538160083333333
2005-12-01,5.667341729666666
2006-01-01,5.796523376
2006-02-01,5.844553207666666
2006-03-01,5.892583039333333
2006-04-01,5.940612871
2006-05-01,5.988642702666667
2006-06-01,6.036672534333333
2006-07-01,6.084702366
2006-08-01,6.132732197666666
2006-09-01,6.180762029333333
2006-10-01,6.2287918609999995
2006-11-01,6.276821692666666
2006-12-01,6.324851524333333
2007-01-01,6.372881356
2007-02-01,6.5375801637499995
2007-03-01,6.7022789715
2007-04-01,6.86697777925
2007-05-01,7.031676587
2007-06-01,7.1963753947499995
2007-07-01,7.361074202499999
